id,Premise,Hypothesis,perturbation_1_lexical,perturbation_2_syntactic,perturbation_3_pragmatic,gold_label,Explanation
277,A new graduate is reaching over to shake hands with a man behind the roped off section separating them.,the new graduate has no arms,The new graduate lacks arms.,The new graduate is without arms.,It seems the new graduate has no arms.,contradiction,People with no arms cannot shake hands with other people.
278,A man wearing black staring at a tree.,A man is staring at a woman,A man is gazing at a woman.,A woman is being stared at by a man.,A man seems to be staring at a woman.,contradiction,A man can either be staring at a tree or woman but not both.
279,Two hockey players almost fall on the ice during a scuffle.,The hockey players are wearing green uniforms.,The hockey players are clad in green uniforms.,Green uniforms are being worn by the hockey players.,It appears that the hockey players are wearing green uniforms.,neutral,Not all hockey players are wearing green uniforms.
280,Indian woman performing a dance on stage.,Indian woman performing a dance on a stage for a competition.,An Indian woman executing a dance on a platform for a contest.,A dance is being performed on a stage by an Indian woman for a competition.,An Indian woman appears to be performing a dance on a stage for a competition.,neutral,"The woman could be performing just for fun, not necessarily for a competition."
281,Skydivers in formation.,They are all friends.,They are all companions.,Friendship is shared among all of them.,It seems they are all friends.,neutral,Nothing says they are friends. They could be strangers
282,A brown dog swims through water outdoors with a tennis ball in its mouth.,A brown dog is swimming in water with a ball in its mouth.,"A brown dog is paddling in water, holding a ball in its mouth.","With a ball in its mouth, a brown dog is swimming in water.",A brown dog appears to be swimming in water with a ball in its mouth.,entailment,Swimming in water is a rephrasing of swims through water.
283,A man with a goatee on his face is looking at a plate of toast with eggs on top of the toast.,The man is playing with a hackey sack.,The man is playing with a footbag.,A hackey sack is being played with by the man.,The man appears to be playing with a hackey sack.,contradiction,Hackey sack is not a plate of toast with eggs and you cannot be playing with a hackey sack while looking at food.
284,Two women in library the librarian assist the other women to help in her research.,A librarian is helping a patron in the library.,A librarian is assisting a client in the library.,A patron is being helped by a librarian in the library.,A librarian appears to be helping a patron in the library.,entailment,A librarian usually works in a library.
285,"Two People, smiling holding a musical instrument.","Two People, smiling holding a trombone.","Two individuals, grinning, grasping a trombone.",Two smiling people are holding a trombone.,Two people appear to be smiling and holding a trombone.,neutral,A trombone is not the only musical instrument that can be held.
286,"A giant inflatable ball, taller than a man, is chased by two men in orange shirts.",two men chase a giant ball that will pop if they don't catch it,Two males pursue a massive ball that will burst if they do not seize it.,A giant ball that will pop if not caught is being chased by two men.,Two men chase a giant ball that might pop if they don't catch it.,neutral,Chasing a ball does not imply the ball will pop if they don't catch it.
287,A man in a black helmet and a man in a white helmet are riding small motorcycles past a man in a white shirt on a narrow city street.,A man in a white shirt saw two motorcycles.,A man in a white shirt observed two motorcycles.,Two motorcycles were seen by a man in a white shirt.,A man in a white shirt appears to have seen two motorcycles.,neutral,We don't know for sure that the man saw two motorcycles.
288,A muslim woman holding balloons at an islamic event,A muslim woman is empty handed at the event.,A muslim woman is carrying nothing at the event.,The muslim woman at the event has empty hands.,A muslim woman appears to be empty handed at the event.,contradiction,The woman can't be empty handed and holding balloons.
289,Two men work on girls bike in front of garage.,Tall humans working,High-stature individuals toiling.,Tall humans are working.,It appears that tall humans are working.,neutral,"Just because the two humans are working, doesn't mean they are working on a bike, or that the bike belongs to a girl, or that they are men, or that they are tall."
290,A group of men are playing basketball.,Men are throwing a basketball.,Men are tossing a basketball.,A basketball is being thrown by men.,Men seem to be throwing a basketball.,neutral,"Just because a group of men are playing basketball, does not imply that the men are throwing a basketball."
