id,premise_raw,premise_original_necessity,premise_original_necessity_control,premise_original_sufficiency,premise_original_sufficiency_control,coverage_original,premise_lexical_necessity,premise_lexical_necessity_control,premise_lexical_sufficiency,premise_lexical_sufficiency_control,coverage_lexical,premise_syntactic_necessity,premise_syntactic_necessity_control,premise_syntactic_sufficiency,premise_syntactic_sufficiency_control,coverage_syntactic,premise_pragmatic_necessity,premise_pragmatic_necessity_control,premise_pragmatic_sufficiency,premise_pragmatic_sufficiency_control,coverage_pragmatic
187,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A _____ middle-aged _____ wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in _____ _____ in front of a blue-green backdrop.,_____ smiling _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ middle-aged _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ a _____ _____,0.0870,A _____ middle-aged _____ wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass _____ front of a _____ backdrop.,_____ smiling _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ patterned _____ _____ in _____ _____ _____ _____ _____ _____ _____ _____,0.0870,A _____ middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A smiling middle-aged man wearing over-sized red sunglasses and a colorful patterned shirt sits in _____ grass in front of a blue-green backdrop.,_____ smiling _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ middle-aged _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,0.0435,A _____ middle-aged _____ wearing over-sized red sunglasses and a colorful patterned shirt sits in the grass in front of a blue-green backdrop.,A smiling middle-aged man wearing over-sized red sunglasses and a _____ patterned shirt sits in _____ grass in front of a blue-green backdrop.,_____ smiling _____ man _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ red _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ in _____ _____ _____ _____ _____,0.0870
188,Some people are swimming in water; one has goggles on.,Some people are _____ in water; one has _____ on.,Some people are swimming _____ water; one _____ goggles on.,_____ _____ _____ swimming _____ _____ _____ _____ goggles _____,Some _____ _____ _____ in _____ _____ _____ _____ _____,0.2000,Some people are _____ in water; one has _____ on.,Some _____ _____ swimming in water; one has goggles on.,_____ _____ _____ swimming _____ _____ _____ _____ goggles _____,Some _____ _____ _____ _____ _____ one _____ _____ _____,0.2000,Some people are _____ in water; one has _____ _____,_____ people _____ swimming _____ water; one has goggles on.,_____ _____ _____ swimming _____ _____ _____ _____ goggles on.,_____ people _____ swimming _____ _____ _____ _____ goggles _____,0.3000,Some people are _____ in water; one has _____ _____,Some people are swimming in _____ _____ _____ goggles on.,_____ _____ _____ swimming _____ _____ _____ _____ goggles on.,_____ _____ _____ swimming _____ water; _____ has _____ _____,0.3000
189,"A gentleman is hanging from a window, cleaning the outside of the window, while a gentleman on the inside watches.","A _____ is _____ from a window, cleaning the outside of the window, while a _____ on the inside watches.","_____ gentleman is hanging from a window, cleaning the outside of _____ window, while a gentleman on the _____ watches.",_____ gentleman _____ hanging _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ gentleman _____ _____ _____ _____,"A _____ _____ _____ _____ _____ window, _____ _____ outside _____ _____ _____ _____ _____ _____ _____ _____ _____ _____",0.1500,"A _____ is _____ _____ _____ _____ cleaning the outside of the window, while a _____ on the inside watches.","_____ gentleman is hanging from a window, cleaning _____ outside of _____ window, while _____ gentleman _____ the inside _____","_____ gentleman _____ hanging from a window, _____ _____ _____ _____ _____ _____ _____ _____ gentleman _____ _____ _____ _____","_____ _____ _____ hanging _____ _____ window, cleaning _____ _____ _____ _____ _____ _____ _____ gentleman _____ the _____ watches.",0.3000,"A _____ _____ _____ from a window, cleaning the outside of the window, while a _____ on the inside watches.",A gentleman is hanging from _____ _____ cleaning the outside of the _____ while a gentleman _____ the inside watches.,_____ gentleman is hanging _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ gentleman _____ _____ _____ _____,_____ _____ _____ _____ _____ _____ _____ cleaning _____ outside of _____ _____ _____ _____ _____ _____ the _____ _____,0.2000,"A _____ is hanging from a window, cleaning the outside of the window, while a _____ on the inside watches.","A gentleman is hanging from a window, cleaning the _____ _____ the window, while a gentleman on the inside watches.",_____ gentleman _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ gentleman _____ _____ _____ _____,"_____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ _____ window, _____ a _____ _____ _____ _____ _____",0.1000
190,A man in a colorful t-shirt is standing at an outside food stall.,_____ _____ in a colorful t-shirt _____ _____ at an outside _____ _____,A man _____ _____ _____ _____ is standing at _____ _____ food stall.,A man _____ _____ _____ _____ is standing _____ _____ _____ food stall.,_____ _____ _____ _____ colorful t-shirt _____ _____ at an outside food _____,0.4615,A _____ in a colorful t-shirt is _____ _____ an outside _____ _____,A man _____ _____ _____ _____ is standing at _____ outside food stall.,_____ man _____ _____ _____ _____ _____ standing at _____ _____ food stall.,_____ man _____ _____ _____ _____ _____ standing at _____ outside food _____,0.3846,_____ _____ in a colorful t-shirt _____ _____ at an outside _____ _____,A man _____ _____ _____ _____ is standing _____ an _____ food stall.,A man _____ _____ _____ _____ is standing _____ _____ _____ food stall.,_____ _____ _____ a _____ t-shirt is _____ _____ an _____ food stall.,0.4615,_____ _____ in a colorful t-shirt _____ _____ at an outside _____ _____,A man _____ _____ _____ _____ is standing at _____ _____ food stall.,A man _____ _____ _____ _____ is standing _____ _____ _____ food stall.,A _____ in a colorful _____ _____ _____ _____ an _____ _____ stall.,0.4615
191,Two women are sitting at a makeshift table.,_____ _____ are _____ _____ _____ _____ _____,Two women _____ sitting at a makeshift table.,Two women _____ sitting at a makeshift table.,Two women are _____ at a makeshift table.,0.8750,Two _____ are _____ at a _____ _____,_____ women _____ sitting _____ _____ makeshift table.,_____ women _____ sitting _____ _____ makeshift table.,_____ _____ are sitting at _____ _____ table.,0.5000,Two _____ are sitting at a makeshift _____,_____ women are sitting _____ a makeshift table.,_____ women _____ _____ _____ _____ _____ table.,_____ _____ _____ _____ at _____ makeshift _____,0.2500,_____ _____ are _____ _____ _____ _____ _____,Two women _____ sitting at a makeshift table.,Two women _____ sitting at a makeshift table.,Two women _____ sitting at a makeshift table.,0.8750
193,A man and two small children laying on a tiled floor.,A man and two small children _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ children laying on a tiled floor.,_____ _____ _____ _____ _____ _____ laying on a tiled floor.,_____ man and _____ _____ _____ _____ on a _____ floor.,0.4545,A man and two small children _____ on a _____ _____,_____ man and _____ small _____ laying on a tiled floor.,_____ _____ _____ _____ _____ _____ laying _____ _____ tiled floor.,A _____ _____ _____ _____ _____ _____ _____ a _____ floor.,0.2727,A _____ and two small _____ _____ on a _____ _____,_____ man _____ _____ _____ children laying _____ a tiled floor.,_____ man _____ _____ _____ children laying _____ _____ tiled floor.,A man _____ two _____ _____ _____ _____ a _____ floor.,0.4545,A man and two small children _____ _____ _____ _____ _____,_____ _____ _____ _____ _____ children laying on a tiled floor.,_____ _____ _____ _____ _____ _____ laying on a tiled floor.,A man and two _____ _____ _____ _____ _____ _____ floor.,0.4545
194,a number of people standing on the sidewalk along side the front doors of a transit bus,a number of people _____ on the sidewalk _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,a _____ _____ _____ _____ on the sidewalk along side the front doors _____ a _____ _____,0.5882,a number of people _____ on the sidewalk _____ _____ the front doors of _____ _____ _____,a _____ _____ _____ standing _____ _____ sidewalk along side the front _____ of a transit bus,_____ _____ _____ _____ standing _____ _____ _____ along side _____ _____ _____ _____ a transit bus,a _____ _____ _____ _____ _____ the _____ along _____ _____ _____ _____ _____ a transit bus,0.3529,a number of people _____ on the sidewalk _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,a number of _____ standing _____ the _____ along _____ the _____ _____ _____ a transit bus,0.5882,a number of people _____ on the sidewalk _____ _____ _____ _____ _____ _____ _____ _____ _____,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,_____ _____ _____ _____ standing _____ _____ _____ along side the front doors of a transit bus,_____ _____ _____ people standing on the _____ along side the _____ _____ _____ a transit bus,0.5882
195,A small child bangs a metal pan with a red and tan wooden hammer.,A small child _____ _____ _____ _____ with _____ _____ _____ _____ _____ _____,_____ _____ _____ bangs a metal pan _____ a red and tan wooden hammer.,_____ _____ _____ bangs a metal pan _____ a red and tan wooden hammer.,A small child bangs _____ metal pan with a red _____ _____ wooden _____,0.7143,A small _____ _____ _____ _____ _____ with a red and tan wooden hammer.,A _____ child bangs a metal pan _____ _____ red _____ _____ wooden hammer.,_____ _____ child bangs a metal pan _____ _____ _____ _____ _____ _____ _____,A small _____ _____ _____ _____ pan _____ _____ _____ and _____ _____ hammer.,0.3571,A small _____ _____ a _____ _____ with a _____ _____ _____ _____ _____,_____ _____ child bangs _____ metal pan _____ _____ red and tan wooden hammer.,_____ _____ child bangs _____ metal pan _____ _____ red and tan wooden hammer.,A _____ child bangs _____ _____ pan with a red _____ tan _____ hammer.,0.6429,A small _____ _____ a _____ _____ with a red and tan _____ _____,_____ _____ child bangs _____ metal pan with a _____ _____ _____ wooden hammer.,_____ _____ child bangs _____ metal pan _____ _____ _____ _____ _____ wooden hammer.,_____ small _____ _____ _____ metal pan _____ _____ red and _____ _____ hammer.,0.4286
196,Snow is being kicked up by the board.,_____ is being _____ _____ by the board.,Snow is _____ kicked up _____ the _____,Snow _____ _____ kicked up _____ _____ _____,Snow is _____ _____ _____ _____ the _____,0.3750,_____ is being _____ _____ _____ _____ _____,Snow _____ _____ kicked up by the board.,Snow _____ _____ kicked up by the board.,Snow _____ being kicked _____ by the board.,0.7500,_____ is being _____ _____ by the board.,Snow _____ _____ kicked up _____ the board.,Snow _____ _____ kicked up _____ _____ _____,Snow is being _____ _____ _____ _____ _____,0.3750,_____ is being _____ _____ _____ _____ _____,Snow _____ _____ kicked up by the board.,Snow _____ _____ kicked up by the board.,Snow is _____ kicked up _____ the board.,0.7500
198,Two people in lawn chairs reading books.,_____ _____ in lawn chairs reading books.,Two people in lawn chairs _____ _____,Two people _____ _____ _____ _____ _____,_____ people in _____ _____ _____ _____,0.2857,_____ _____ in lawn chairs reading books.,Two people in lawn chairs _____ _____,Two people _____ _____ _____ _____ _____,_____ people _____ _____ chairs _____ _____,0.2857,_____ _____ in lawn chairs reading books.,Two people in lawn _____ reading _____,Two people _____ _____ _____ _____ _____,_____ _____ _____ lawn chairs _____ _____,0.2857,_____ _____ in lawn chairs reading books.,Two people in _____ _____ reading books.,Two people _____ _____ _____ _____ _____,_____ _____ _____ _____ chairs reading _____,0.2857
